,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
121,React JS Portfolio Website with Theme Customization,,Rating: 4.9 out of 5,21 reviews,5.5 total hours,70 lectures,All Levels,Ernest Apedo
122,JavaScript: Master the Basics,,Rating: 5.0 out of 5,1 review,5.5 total hours,20 lectures,Beginner,Dominique Canlas
123,"Javascript -  All You Need( incl Async,ChatBot and OOPS)",,Rating: 0.0 out of 5,0 reviews,5 total hours,63 lectures,All Levels,Rahul Dhingra
124,Master JavaScript with Node.js,,Rating: 4.9 out of 5,6 reviews,6 total hours,74 lectures,All Levels,Dezlearn Education
125,Javascript Interview Questions with answers,,Rating: 5.0 out of 5,1 review,3 total hours,7 lectures,Beginner,Shivprasad Koirala
126,Web Development | HTML | CSS | JavaScript | jQuery | NodeJS,Full Stack Web Development Bootcamp | HTML Project | HTML 5 | CSS 3 | <strong>JavaScript</strong> | Bootstrap | ES6 | jQuery | NodeJS,Rating: 4.5 out of 5,948 reviews,62.5 total hours,594 lectures,All Levels,Web University by Harsha Vardhan
127,Learn Modern JavaScript: Getting Started,<strong>JavaScript</strong> for Beginners; In Depth Training to truly Learn <strong>JavaScript</strong>; Gets You Started as a <strong>JavaScript</strong> Programmer,Rating: 4.6 out of 5,601 reviews,13.5 total hours,118 lectures,Beginner,Steven Hancock
128,The Complete Modern Javascript Course with ES6,"This is the Most Comprehensive <strong>JS</strong> course on the market! Covers ES6, OOP, Hoisting, Closures, and more!",Rating: 4.4 out of 5,226 reviews,37 total hours,302 lectures,All Levels,Development Island (UK)
129,Playwright JS Automation Testing from Scratch with Framework,Playwright -Modern Testing tool for reliable Web Automation. Support API calls with in UI tests for Smarter Automation.,Rating: 4.6 out of 5,1525 reviews,14 total hours,69 lectures,All Levels,Rahul Shetty
130,JavaScript Developer Bootcamp in 2022 - Beginner to Expert,"Master Modern <strong>JavaScript</strong> by Building 50 Projects: Web Dev, Object Oriented & Asynchronous Programming, Game & AI Dev",Rating: 4.7 out of 5,274 reviews,63.5 total hours,356 lectures,All Levels,Muslim Helalee
131,Design Patterns in JavaScript,Discover the modern implementation of design patterns in <strong>JavaScript</strong>,Rating: 4.2 out of 5,1365 reviews,10 total hours,103 lectures,Intermediate,Dmitri Nesteruk
132,"React JS, Angular & Vue JS - Quickstart & Comparison","Angular (Angular 2+), React or Vue? Get a Crash Course on each of them and a detailed comparison!",Rating: 4.7 out of 5,2885 reviews,8 total hours,144 lectures,Beginner,"Maximilian Schwarzmüller, Academind by Maximilian Schwarzmüller"
133,Complete Next.js with React & Node - Beautiful Portfolio App,"Build Serverless Web Apps with Next.<strong>js</strong>. Learn Hooks. Deploy to Vercel. Next.<strong>js</strong> (Next <strong>JS</strong> 10+), React (React 16+) & Node.",Rating: 4.6 out of 5,1037 reviews,70 total hours,448 lectures,All Levels,"Filip Jerga, Eincode by Filip Jerga"
134,Webpack 5 in 2022: The Complete Guide For Beginners,"Learn Webpack 5 from the very basics to advanced! Use Webpack with <strong>JS</strong>, CSS, NPM, Module Federation and Micro Frontends.",Rating: 4.5 out of 5,4222 reviews,5 total hours,66 lectures,All Levels,Viktor Pyskunov
135,JavaScript For Beginners - Learn JavaScript From Scratch,Learn The <strong>JavaScript</strong> Programming Language Completely From Scratch Without Frameworks,Rating: 4.5 out of 5,3108 reviews,3 total hours,56 lectures,Beginner,Robin Haney
136,JavaScript with Real World App Javascript Projects,"<strong>JavaScript</strong> (<strong>JS</strong>) from scratch, <strong>JavaScript</strong> libraries such as React, Angular, Node with hands-on projects with <strong>JavaScript</strong>!",Rating: 4.9 out of 5,28 reviews,9 total hours,71 lectures,All Levels,Oak Academy
137,Mastering data visualization in D3.js,Design and build beautiful data visualizations with d3.<strong>js</strong>. An intensive introduction to the D3 library (V6).,Rating: 4.4 out of 5,4772 reviews,6.5 total hours,95 lectures,Intermediate,Adam Janes
138,The Complete Front-End Web Development Course,"Get started as a front-end web developer using HTML, CSS, <strong>JavaScript</strong>, jQuery, and Bootstrap!",Rating: 4.3 out of 5,13417 reviews,17 total hours,126 lectures,All Levels,"Joseph Delgadillo, Nick Germaine"
139,Gatsby.js Tutorial and Projects Course,Create Blazingly Fast Websites with latest version of Gatsby.<strong>js</strong>,Rating: 4.8 out of 5,1717 reviews,22 total hours,240 lectures,All Levels,John Smilga
